"","county_1_code","date","var","values"
"147","LT022",2020-03-12,"recovered",0
"148","LT022",2020-03-13,"recovered",0
"149","LT022",2020-03-14,"recovered",0
"150","LT022",2020-03-15,"recovered",0
"151","LT022",2020-03-16,"recovered",0
"152","LT022",2020-03-17,"recovered",0
"153","LT023",2020-02-28,"recovered",0
"154","LT023",2020-02-29,"recovered",0
"155","LT023",2020-03-01,"recovered",0
"156","LT023",2020-03-02,"recovered",0
"157","LT023",2020-03-03,"recovered",0
"158","LT023",2020-03-04,"recovered",0
"159","LT023",2020-03-05,"recovered",0
"160","LT023",2020-03-06,"recovered",0
"161","LT023",2020-03-07,"recovered",0
"162","LT023",2020-03-08,"recovered",0
"163","LT023",2020-03-09,"recovered",0
"164","LT023",2020-03-10,"recovered",0
"165","LT023",2020-03-11,"recovered",0
"166","LT023",2020-03-12,"recovered",0
"167","LT023",2020-03-13,"recovered",0
"168","LT023",2020-03-14,"recovered",0
"169","LT023",2020-03-15,"recovered",0
"170","LT023",2020-03-16,"recovered",0
"171","LT023",2020-03-17,"recovered",0
"172","LT025",2020-02-28,"recovered",0
"173","LT025",2020-02-29,"recovered",0
"174","LT025",2020-03-01,"recovered",0
"175","LT025",2020-03-02,"recovered",0
"176","LT025",2020-03-03,"recovered",0
"177","LT025",2020-03-04,"recovered",0
"178","LT025",2020-03-05,"recovered",0
"179","LT025",2020-03-06,"recovered",0
"180","LT025",2020-03-07,"recovered",0
"181","LT025",2020-03-08,"recovered",0
"182","LT025",2020-03-09,"recovered",0
"183","LT025",2020-03-10,"recovered",0
"184","LT025",2020-03-11,"recovered",0
"185","LT025",2020-03-12,"recovered",0
"186","LT025",2020-03-13,"recovered",0
"187","LT025",2020-03-14,"recovered",0
"188","LT025",2020-03-15,"recovered",0
"189","LT025",2020-03-16,"recovered",0
"190","LT025",2020-03-17,"recovered",0
"191","LT026",2020-02-28,"recovered",0
"192","LT026",2020-02-29,"recovered",0
"193","LT026",2020-03-01,"recovered",0
"194","LT026",2020-03-02,"recovered",0
"195","LT026",2020-03-03,"recovered",0
"196","LT026",2020-03-04,"recovered",0
"197","LT026",2020-03-05,"recovered",0
"198","LT026",2020-03-06,"recovered",0
"199","LT026",2020-03-07,"recovered",0
"200","LT026",2020-03-08,"recovered",0
"201","LT026",2020-03-09,"recovered",0
"202","LT026",2020-03-10,"recovered",0
"203","LT026",2020-03-11,"recovered",0
"204","LT026",2020-03-12,"recovered",0
"205","LT026",2020-03-13,"recovered",0
"206","LT026",2020-03-14,"recovered",1
"207","LT026",2020-03-15,"recovered",1
"208","LT026",2020-03-16,"recovered",1
"209","LT026",2020-03-17,"recovered",1
"210","LT028",2020-02-28,"recovered",0
"211","LT028",2020-02-29,"recovered",0
"212","LT028",2020-03-01,"recovered",0
"213","LT028",2020-03-02,"recovered",0
"214","LT028",2020-03-03,"recovered",0
"215","LT028",2020-03-04,"recovered",0
"216","LT028",2020-03-05,"recovered",0
"217","LT028",2020-03-06,"recovered",0
"218","LT028",2020-03-07,"recovered",0
"219","LT028",2020-03-08,"recovered",0
"220","LT028",2020-03-09,"recovered",0
"221","LT028",2020-03-10,"recovered",0
"222","LT028",2020-03-11,"recovered",0
"223","LT028",2020-03-12,"recovered",0
"224","LT028",2020-03-13,"recovered",0
"225","LT028",2020-03-14,"recovered",0
"226","LT028",2020-03-15,"recovered",0
"227","LT028",2020-03-16,"recovered",0
"228","LT028",2020-03-17,"recovered",0
"229","LT011",2020-02-28,"active",0
"230","LT011",2020-02-29,"active",0
"231","LT011",2020-03-01,"active",0
"232","LT011",2020-03-02,"active",0
"233","LT011",2020-03-03,"active",0
"234","LT011",2020-03-04,"active",0
"235","LT011",2020-03-05,"active",0
"236","LT011",2020-03-06,"active",0
"237","LT011",2020-03-07,"active",0
"238","LT011",2020-03-08,"active",0
"239","LT011",2020-03-09,"active",0
"240","LT011",2020-03-10,"active",0
"241","LT011",2020-03-11,"active",0
"242","LT011",2020-03-12,"active",0
"243","LT011",2020-03-13,"active",1
"244","LT011",2020-03-14,"active",2
"245","LT011",2020-03-15,"active",4
"246","LT011",2020-03-16,"active",8
"247","LT011",2020-03-17,"active",9
"248","LT022",2020-02-28,"active",0
"249","LT022",2020-02-29,"active",0
"250","LT022",2020-03-01,"active",0
"251","LT022",2020-03-02,"active",0
"252","LT022",2020-03-03,"active",0
"253","LT022",2020-03-04,"active",0
"254","LT022",2020-03-05,"active",0
"255","LT022",2020-03-06,"active",0
"256","LT022",2020-03-07,"active",0
"257","LT022",2020-03-08,"active",0
"258","LT022",2020-03-09,"active",0
"259","LT022",2020-03-10,"active",2
"260","LT022",2020-03-11,"active",2
"261","LT022",2020-03-12,"active",2
"262","LT022",2020-03-13,"active",3
"263","LT022",2020-03-14,"active",3
"264","LT022",2020-03-15,"active",3
"265","LT022",2020-03-16,"active",3
"266","LT022",2020-03-17,"active",3
"267","LT023",2020-02-28,"active",0
"268","LT023",2020-02-29,"active",0
"269","LT023",2020-03-01,"active",0
"270","LT023",2020-03-02,"active",0
"271","LT023",2020-03-03,"active",0
"272","LT023",2020-03-04,"active",0
"273","LT023",2020-03-05,"active",0
"274","LT023",2020-03-06,"active",0
"275","LT023",2020-03-07,"active",0
"276","LT023",2020-03-08,"active",0
"277","LT023",2020-03-09,"active",0
"278","LT023",2020-03-10,"active",0
